filename,startTime,endTime,totalTimeSeconds,triangulationCountA,triangulationCountB,newStoredCount,oldStoredCount,newSpaceExceeded,oldSpaceExceeded,xxHashXorA,xxHashXorB,xxHashSumA,xxHashSumB,sipHashXorA,sipHashXorB,sipHashSumA,sipHashSumB,sha256XorA,sha256XorB,sha256SumA,sha256SumB,triangulationCountMatch,hashMatch,exactMatch,matched
case_001.txt,2026-09-19 16:26:55,2026-09-19 16:26:55,0.004,68,68,68,68,NO,NO,0x0000000000000000,0x0000000000000000,0xCBFCC661BA0F54F0,0xCBFCC661BA0F54F0,0x0000000000000000,0x0000000000000000,0x230E21DE83A4427C,0x230E21DE83A4427C,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0xA01B0025E48D37D8|0xB5EF2E06FFAA91DA|0x141E67BB054DC9B8|0x6C3E4C964401C8E2,0xA01B0025E48D37D8|0xB5EF2E06FFAA91DA|0x141E67BB054DC9B8|0x6C3E4C964401C8E2,MATCHED,MATCHED,MATCHED,MATCHED
case_002.txt,2026-09-19 16:26:55,2026-09-19 16:26:56,0.914,8460,8460,8460,8460,NO,NO,0xFB7D7DAB4DF36918,0xFB7D7DAB4DF36918,0xEB4DA912E85B8376,0xEB4DA912E85B8376,0xCDEF00BCC98FC3E1,0xCDEF00BCC98FC3E1,0xAEB66FC91A080C7B,0xAEB66FC91A080C7B,0xA317A997ACE779AD|0xFD0CDA8108D8F160|0xA36D86E71A1C8EE0|0x3D441A18EDF99A99,0xA317A997ACE779AD|0xFD0CDA8108D8F160|0xA36D86E71A1C8EE0|0x3D441A18EDF99A99,0xDDB33E97DF4E8F57|0x8F710A278D3C4518|0x81635761C9552742|0x888F58FA3AC41FB9,0xDDB33E97DF4E8F57|0x8F710A278D3C4518|0x81635761C9552742|0x888F58FA3AC41FB9,MATCHED,MATCHED,MATCHED,MATCHED
case_003.txt,2026-09-19 16:26:56,2026-09-19 16:26:57,1.499,17408,17408,17408,17408,NO,NO,0x65E6913291B0C078,0x65E6913291B0C078,0x642A8239011B75B0,0x642A8239011B75B0,0x1779D78E8F6161F3,0x1779D78E8F6161F3,0x684EEA27ACC8A56F,0x684EEA27ACC8A56F,0x02C69437F0B0D6A4|0x866A98F3075090ED|0x8BA9E15A16EB8A05|0xE5792B57F0A9EDB7,0x02C69437F0B0D6A4|0x866A98F3075090ED|0x8BA9E15A16EB8A05|0xE5792B57F0A9EDB7,0xC5C441858C6A1F82|0xDE713C1B4069ED61|0xCA42777B50AA174B|0x847D8392BC1470E3,0xC5C441858C6A1F82|0xDE713C1B4069ED61|0xCA42777B50AA174B|0x847D8392BC1470E3,MATCHED,MATCHED,MATCHED,MATCHED
