dataset,category,case,vertices,triangulations,median_time,mad_time,min_time,max_time,n_runs,median_time_per_tri,mad_time_per_tri,median_tri_per_sec,mad_tri_per_sec,median_avg_time_per_tri,median_mem,median_mem_per_vertex,time_limit_frac,any_time_limit,median_unsuccessful_check_pct,median_check_success_rate,median_total_checks,median_successful_checks,median_failed_checks,median_checks_ratio,median_invalid_traversal_pct,median_traversal_success_rate
results-with-vgs,1_triangulation_subdivide_1,case_001.txt,6,68.0,6.9747e-05,3.509314199999999e-06,6.738e-05,8.7072e-05,5,1.0256911764705882e-06,5.1607561764705756e-08,974952.3276986824,50777.887324369876,1.0256911764705882e-06,151552.0,25258.666667,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_002.txt,9,8460.0,0.003898101,0.00022091481300000034,0.003749096,0.00529998,5,4.6076843971631206e-07,2.6112862056737615e-08,2170287.532313811,127883.80568471379,4.6076843971631206e-07,217088.0,24120.888889,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_003.txt,10,17408.0,0.007393266,0.0008091600845999994,0.0067126,0.008729476,5,4.2470507812499997e-07,4.64820820657169e-08,2354575.095769583,239982.2779122919,4.2470507812499997e-07,151552.0,15155.2,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_004.txt,12,1005590.0,0.424125134,0.001588235250000035,0.405501073,0.429726572,5,4.2176745393251723e-07,1.5794063684006628e-09,2370974.7887754277,8901.149188821628,4.2176745393251723e-07,217088.0,18090.666667,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_006.txt,13,1375004.0,0.536095211,0.009487888321799967,0.529695718,0.573772747,5,3.8988629196715063e-07,6.900262342364073e-09,2564850.3694617036,45941.496298031125,3.8988629196715063e-07,278528.0,21425.230769,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_005.txt,13,1867652.0,0.587408317,0.0046773450275999166,0.581716135,0.599214503,5,3.1451700691563524e-07,2.5043985858178785e-09,3179478.304867107,25453.877929215425,3.1451700691563524e-07,217088.0,16699.076923,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_010.txt,14,2296832.0,0.883026742,0.006531133211399964,0.871169641,0.908727788,5,3.844542143265158e-07,2.8435398023886637e-09,2601089.967895899,19334.905929815824,3.844542143265158e-07,282624.0,20187.428571,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_008.txt,15,81820780.0,34.404498598,0.1962285400362036,34.272144261,34.830062437,5,4.2048607453998856e-07,2.398272664183895e-09,2378200.0416874667,13616.618748463557,4.2048607453998856e-07,278528.0,18568.533333,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_007.txt,15,93952962.0,37.318851318,0.23089638784799865,36.934834445,38.048039396,5,3.972078210583717e-07,2.4575743322280067e-09,2517573.791310229,15641.81884995695,3.972078210583717e-07,217088.0,14472.533333,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_009.txt,15,130217114.0,52.393668624,0.13903144955280106,52.15632406,52.617638279,5,4.023562419299202e-07,1.0676895323666527e-09,2485359.727994908,6606.95738609503,4.023562419299202e-07,151552.0,10103.466667,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_013.txt,16,174923434.0,67.149723287,0.1495014862445959,66.819726634,67.371404916,5,3.838806599634901e-07,8.546681415172613e-10,2604976.244687887,5808.415977270826,3.838806599634901e-07,282624.0,17664.0,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_011.txt,16,228160760.0,86.830503421,0.4078817658131959,85.565315127,87.105615903,5,3.80567208055408e-07,1.7876946316850676e-09,2627656.7681953483,12304.296014117557,3.80567208055408e-07,278528.0,17408.0,0.0,False,,,,,,,,
results-with-vgs,1_triangulation_subdivide_1,case_017.txt,17,246418336.0,98.595723943,1.5703104707051858,97.536564041,103.136408724,5,4.001152087278115e-07,6.372539057747608e-09,2499280.152782883,40237.68759673431,4.001152087278115e-07,282624.0,16624.941176,0.0,False,,,,,,,,
