dataset,category,case,vertices,triangulations,median_time,mad_time,min_time,max_time,n_runs,median_time_per_tri,mad_time_per_tri,median_tri_per_sec,mad_tri_per_sec,median_avg_time_per_tri,median_mem,median_mem_per_vertex,time_limit_frac,any_time_limit,median_unsuccessful_check_pct,median_check_success_rate,median_total_checks,median_successful_checks,median_failed_checks,median_checks_ratio,median_invalid_traversal_pct,median_traversal_success_rate
results-without-vgs,1_triangulation_subdivide_1,case_001.txt,6,68.0,9.181e-05,4.280266200000001e-06,7.269e-05,0.000104312,5,1.3501470588235295e-06,6.294509117647082e-08,740660.0588171222,35651.31873019288,1.3501470588235295e-06,278528.0,46421.333333,0.0,False,46.4,53.6,125.0,67.0,58.0,1.8656716417910448,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_002.txt,9,8460.0,0.006075407,5.224089359999889e-05,0.006040171,0.006507378,5,7.181332151300236e-07,6.175046524822582e-09,1392499.3008698842,12043.600721704228,7.181332151300236e-07,278528.0,30947.555556,0.0,False,26.957948363699163,73.04,11581.0,8459.0,3122.0,1.3690743586712377,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_003.txt,10,17408.0,0.012535774,0.00015114217439999946,0.012333915,0.013121139,5,7.201156939338235e-07,8.682339981617543e-09,1388665.7497175683,16607.900328771222,7.201156939338235e-07,217088.0,21708.8,0.0,False,20.36689693032618,79.63,21859.0,17407.0,4452.0,1.2557591773424484,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_004.txt,12,1005590.0,0.726451768,0.006898745363999917,0.720710717,0.74057232,5,7.224134766654402e-07,6.860395751747695e-09,1384248.81636464,13230.255273521983,7.224134766654402e-07,217088.0,18090.666667,0.0,False,25.88169391959373,74.12,1356735.0,1005589.0,351146.0,1.3491943527624108,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_006.txt,13,1375004.0,1.005984815,0.004753372755600226,0.997400024,1.009190921,5,7.316231916416242e-07,3.4569883110159426e-09,1366823.8123455176,6437.853270490356,7.316231916416242e-07,217088.0,16699.076923,0.0,False,19.086628314792932,80.91,1699352.0,1375003.0,324349.0,1.2358896671498172,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_005.txt,13,1867652.0,1.198240265,0.005459732321399895,1.191065716,1.226784646,5,6.415757673271037e-07,2.923313508833397e-09,1558662.360590929,7123.874454157258,6.415757673271037e-07,278528.0,21425.230769,0.0,False,15.608365912422348,84.39,2213076.0,1867651.0,345425.0,1.1849515782124176,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_010.txt,14,2296832.0,1.718136979,0.007143441080999962,1.700357587,1.735057167,5,7.480464304746713e-07,3.1101278112636436e-09,1336815.4158097543,5573.663344178065,7.480464304746713e-07,217088.0,15506.285714,0.0,False,20.441135617490797,79.56,2886958.0,2296831.0,590127.0,1.2569309627047005,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_008.txt,15,81820780.0,66.05412051,0.3223182956111998,65.836719798,66.412916046,5,8.073025032271754e-07,3.939320739929355e-09,1238693.050006064,6064.297156486143,8.073025032271754e-07,278528.0,18568.533333,0.0,False,28.770331243273475,71.23,114868959.0,81820779.0,33048180.0,1.4039093785699597,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_007.txt,15,93952962.0,70.239585436,0.18620734122059582,69.878039505,70.485198318,5,7.476037363888538e-07,1.9819209235850894e-09,1337607.012011864,3552.390103904791,7.476037363888538e-07,278528.0,18568.533333,0.0,False,23.461397944139367,76.54,122752387.0,93952961.0,28799426.0,1.3065302646502008,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_009.txt,15,130217114.0,96.798417841,0.10064698596120988,96.730532379,97.219889741,5,7.433617200347414e-07,7.729167301405265e-10,1345240.107270071,1399.7065751730438,7.433617200347414e-07,221184.0,14745.6,0.0,False,28.894883054880715,71.11,183133252.0,130217113.0,52916139.0,1.406368546966634,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_013.txt,16,174923434.0,125.323115764,0.04042916914258143,125.295846663,125.630488075,5,7.164455493367458e-07,2.311249454580095e-10,1395779.4851622104,450.3757019426402,7.164455493367458e-07,217088.0,13568.0,0.0,False,19.92441685318253,80.08,218447904.0,174923433.0,43524471.0,1.2488201280614015,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_011.txt,16,228160760.0,169.756788134,0.21549868987498322,167.909143883,169.902140009,5,7.440227150978985e-07,9.4450373445017e-10,1344044.9864066583,1704.745647631738,7.440227150978985e-07,278528.0,17408.0,0.0,False,19.91613159136991,80.08,284902270.0,228160759.0,56741511.0,1.248690928486962,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_017.txt,17,246418336.0,178.548592661,0.1987298552525603,178.395937833,178.937045142,5,7.245751089764683e-07,8.064734892640859e-10,1380119.172755735,1537.2674570148588,7.245751089764683e-07,278528.0,16384.0,0.0,False,20.59436630139796,79.41,310328529.0,246418335.0,63910194.0,1.2593564882256023,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_018.txt,17,246419208.0,180.561927719,0.38107377660659125,180.275361516,181.18312441,5,7.327429106865728e-07,1.5464450993876434e-09,1364735.1416378904,2876.1628698726486,7.327429106865728e-07,217088.0,12769.882353,0.0,False,19.960226776319452,80.04,307870946.0,246419207.0,61451739.0,1.2493788521931246,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_024.txt,18,303044608.0,221.195031319,0.36719615431381286,220.947360906,221.670563704,5,7.299091469695445e-07,1.2116901097076389e-09,1370033.5228731213,2276.881872755372,7.299091469695445e-07,282624.0,15701.333333,0.0,False,20.225494175596666,79.77,379876508.0,303044607.0,76831901.0,1.2535333057420157,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_023.txt,18,303046688.0,242.235349784,1.0531247196791904,239.332487039,242.945672676,5,7.993334340086898e-07,3.475123673614261e-09,1251042.377878477,5423.038159099437,7.993334340086898e-07,167936.0,9329.777778,0.0,False,20.150560773947433,79.85,379522624.0,303046687.0,76475937.0,1.2523569478916627,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_030.txt,21,424065636.0,360.031991115,0.0011776855187874162,360.025412854,360.04757776,5,8.489987544687539e-07,2.5021166985444333e-09,1177858.0295158764,3464.4238026782637,8.490006276174663e-07,,,1.0,True,19.959333404004845,80.04,529812724.0,424065636.0,105747088.0,1.2493649072758162,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_033.txt,23,425726172.0,360.015413662,0.0036945087312579175,360.001615205,360.02886943,5,8.456526200813419e-07,4.972604467090201e-09,1182518.65630572,6981.13144599218,8.45650179247143e-07,,,1.0,True,21.09004895437749,78.91,539508852.0,425726171.0,113782681.0,1.267267292336604,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_029.txt,22,434487265.0,360.018785937,0.004158784921189749,360.004646806,360.024645769,5,8.285735297811318e-07,1.5936279330825102e-09,1206893.491111345,2324.280767347509,8.286060718879759e-07,,,1.0,True,12.497448858324677,87.5,496542396.0,434487264.0,62055132.0,1.1428238227944927,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_028.txt,20,443838543.0,360.019328102,0.005035667208607969,360.004114937,360.032428717,5,8.111788270650483e-07,4.078772487239102e-09,1232773.793687554,6219.731992384481,8.111493104419279e-07,,,1.0,True,22.938192803705064,77.06,575951380.0,443838542.0,132112838.0,1.2976596791362027,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_032.txt,23,449241417.0,360.020038849,0.015172261230014044,360.005356434,360.04925245,5,8.01385502695091e-07,2.7298344768333607e-09,1247838.8948102512,4260.419128941962,8.013954751838921e-07,,,1.0,True,23.201368785122753,76.8,584960186.0,449241416.0,135718770.0,1.3021065404174579,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_015.txt,18,451507388.0,360.013404917,0.016297269970814782,360.001364555,360.030941032,5,7.973321680286658e-07,1.6311534085440955e-09,1254182.434997465,2562.225732669513,7.973588350607454e-07,,,1.0,True,25.73701362281619,74.26,607984420.0,451507387.0,156477033.0,1.346565831491036,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_031.txt,21,455301385.0,360.030214604,0.008496971855438106,360.009053875,360.043107257,5,7.907049390482307e-07,2.4545093142965267e-09,1264694.2628228643,3934.105857925531,7.907514153597401e-07,,,1.0,True,22.86598651558561,77.13,590273168.0,455301385.0,134971783.0,1.2964449207638584,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_027.txt,20,457476161.0,360.032163306,0.0019427560445825177,360.007511722,360.048494456,5,7.869936919729463e-07,3.7141584547264888e-09,1270658.2151796662,6015.927313224652,7.869965563211062e-07,,,1.0,True,19.526576831364917,80.47,568481050.0,457476161.0,111004889.0,1.242646280753414,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_036.txt,24,459128987.0,360.023670351,0.0036844359467724415,360.009856981,360.026155469,5,7.841449364881856e-07,4.76977278179813e-09,1275274.44668396,7725.504330245902,7.841449364881856e-07,,,1.0,True,17.536346681217957,82.46,556765276.0,459128987.0,97636289.0,1.2126554666869682,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_037.txt,24,461182521.0,360.039159221,0.0,360.039159221,360.039159221,1,7.806869142401864e-07,0.0,1280923.2251231761,0.0,7.806869142401864e-07,,,1.0,True,8.65848157147797,91.34,504899117.0,461182520.0,43716597.0,1.0947923980293095,0.0,100.0
