filename,vertices,triangulations,meanTime,medianTime,minTime,maxTime,stddevTime,perTriangNs,peakMemory,memoryPerVertex
graph_V10F3_theta_a2_b4_c2_T243936_v1.txt,10,75736,0.038695185,0.039089053,0.037906978,0.039089524,0.000682607,511,4096,409.600000
graph_V10F3_theta_a2_b5_c1_T283140_v1.txt,10,81630,0.049820542,0.049676880,0.049375931,0.050408816,0.000531217,610,4096,409.600000
graph_V10F3_theta_a3_b1_c4_T252252_v1.txt,10,74236,0.035224217,0.034614032,0.034429059,0.036629560,0.001220572,474,4096,409.600000
graph_V10F3_theta_a3_b2_c3_T232848_v1.txt,10,73670,0.033378827,0.033099383,0.033085643,0.033951456,0.000495959,453,4096,409.600000
graph_V10F3_theta_a3_b3_c2_T232848_v1.txt,10,73670,0.034474384,0.034454763,0.033983665,0.034984724,0.000500818,468,4096,409.600000
graph_V10F3_theta_a3_b4_c1_T252252_v1.txt,10,74236,0.039518825,0.039503422,0.039180017,0.039873035,0.000346766,532,4096,409.600000
graph_V10F3_theta_a4_b1_c3_T252252_v1.txt,10,74236,0.034459735,0.034606591,0.033683891,0.035088723,0.000713837,464,4096,409.600000
graph_V10F3_theta_a4_b2_c2_T243936_v1.txt,10,75736,0.033884046,0.034207850,0.033168274,0.034276013,0.000620813,447,4096,409.600000
graph_V10F3_theta_a4_b3_c1_T252252_v1.txt,10,74236,0.034958529,0.034865639,0.034418163,0.035591786,0.000592300,471,4096,409.600000
graph_V10F3_theta_a5_b1_c2_T283140_v1.txt,10,81630,0.038343012,0.037315515,0.037063859,0.040649662,0.002001576,470,4096,409.600000
graph_V10F3_theta_a5_b2_c1_T283140_v1.txt,10,81630,0.037077047,0.036753403,0.036497632,0.037980105,0.000792458,454,4096,409.600000
graph_V10F3_theta_a6_b1_c1_T368082_v1.txt,10,99422,0.046465073,0.046554694,0.044852299,0.047988226,0.001569883,467,4096,409.600000
graph_V11F3_theta_a1_b1_c7_T4089800_v1.txt,11,997586,0.477880958,0.477421984,0.475564193,0.480656696,0.002577089,479,4096,372.363636
graph_V11F3_theta_a1_b2_c6_T3067350_v1.txt,11,795998,0.380634255,0.381922790,0.373713988,0.386265988,0.006374435,478,4096,372.363636
graph_V11F3_theta_a1_b3_c5_T2642640_v1.txt,11,700780,0.315177859,0.311221252,0.309094810,0.325217514,0.008759363,450,4096,372.363636
graph_V11F3_theta_a1_b4_c4_T2522520_v1.txt,11,672902,0.315887248,0.316538961,0.312207033,0.318915750,0.003401510,469,4096,372.363636
graph_V11F3_theta_a1_b5_c3_T2642640_v1.txt,11,700780,0.358921615,0.358650327,0.357792217,0.360322300,0.001286673,512,8192,744.727273
graph_V11F3_theta_a1_b6_c2_T3067350_v1.txt,11,795998,0.493455895,0.493250678,0.489440191,0.497676815,0.004122145,620,4096,372.363636
graph_V11F3_theta_a1_b7_c1_T4089800_v1.txt,11,997586,0.710178483,0.707803639,0.707426154,0.715305657,0.004444272,712,4096,372.363636
graph_V11F3_theta_a2_b1_c6_T3067350_v3.txt,11,795998,0.367200158,0.360381492,0.359175367,0.382043616,0.012868949,461,4096,372.363636
graph_V11F3_theta_a2_b2_c5_T2576574_v3.txt,11,718374,0.314726116,0.315037384,0.313281688,0.315859276,0.001316684,438,4096,372.363636
graph_V11F3_theta_a2_b3_c4_T2378376_v3.txt,11,679966,0.298955673,0.295937998,0.292893135,0.308035886,0.008009713,440,4096,372.363636
graph_V11F3_theta_a2_b4_c3_T2378376_v3.txt,11,679966,0.306651306,0.305807883,0.304052480,0.310093554,0.003107598,451,4096,372.363636
graph_V11F3_theta_a2_b5_c2_T2576574_v3.txt,11,718374,0.356656587,0.356236453,0.355688078,0.358045230,0.001233461,496,4096,372.363636
graph_V11F3_theta_a2_b6_c1_T3067350_v3.txt,11,795998,0.463074705,0.462207777,0.460562867,0.466453472,0.003039487,582,4096,372.363636
graph_V11F3_theta_a3_b1_c5_T2642640_v3.txt,11,700780,0.319358170,0.319534589,0.318605636,0.319934286,0.000681667,456,4096,372.363636
graph_V11F3_theta_a3_b2_c4_T2378376_v3.txt,11,679966,0.306218368,0.303230103,0.297056073,0.318368927,0.010966163,450,4096,372.363636
graph_V11F3_theta_a3_b3_c3_T2299968_v3.txt,11,671060,0.298370513,0.298929145,0.296819138,0.299363255,0.001360950,445,4096,372.363636
graph_V11F3_theta_a3_b4_c2_T2378376_v3.txt,11,679966,0.311289105,0.311341135,0.310582731,0.311943450,0.000681850,458,4096,372.363636
graph_V11F3_theta_a3_b5_c1_T2642640_v3.txt,11,700780,0.350682812,0.348743312,0.348377831,0.354927292,0.003680367,500,4096,372.363636
graph_V11F3_theta_a4_b1_c4_T2522520_v3.txt,11,672902,0.315911904,0.315376727,0.313385278,0.318973706,0.002832392,469,4096,372.363636
graph_V11F3_theta_a4_b2_c3_T2378376_v3.txt,11,679966,0.316977184,0.308865171,0.307826474,0.334239906,0.014958974,466,4096,372.363636
graph_V11F3_theta_a4_b3_c2_T2378376_v3.txt,11,679966,0.315816284,0.307088641,0.307065800,0.333294411,0.015136506,464,4096,372.363636
graph_V11F3_theta_a4_b4_c1_T2522520_v3.txt,11,672902,0.311981358,0.310826616,0.310135367,0.314982091,0.002621594,464,4096,372.363636
graph_V11F3_theta_a5_b1_c3_T2642640_v3.txt,11,700780,0.351355247,0.344989070,0.340484306,0.368592365,0.015096751,501,4096,372.363636
graph_V11F3_theta_a5_b2_c2_T2576574_v3.txt,11,718374,0.328808782,0.328311491,0.327262158,0.330852697,0.001846203,458,4096,372.363636
graph_V11F3_theta_a5_b3_c1_T2642640_v3.txt,11,700780,0.316299784,0.315496430,0.315094257,0.318308664,0.001751324,451,4096,372.363636
graph_V11F3_theta_a6_b1_c2_T3067350_v3.txt,11,795998,0.367506674,0.367525835,0.365856599,0.369137587,0.001640578,462,4096,372.363636
graph_V11F3_theta_a6_b2_c1_T3067350_v3.txt,11,795998,0.372668393,0.353020149,0.351426544,0.413558485,0.035420822,468,4096,372.363636
graph_V11F3_theta_a7_b1_c1_T4089800_v3.txt,11,997586,0.458651660,0.458609421,0.453662735,0.463682823,0.005010178,460,4096,372.363636
graph_V12F3_theta_a1_b1_c8_T47278088_v3.txt,12,10451550,4.641222155,4.634760359,4.628609224,4.660296881,0.016803065,444,4096,341.333333
graph_V12F3_theta_a1_b2_c7_T34763300_v3.txt,12,8151398,3.493685381,3.500199505,3.475025298,3.505831340,0.016403610,429,4096,341.333333
graph_V12F3_theta_a1_b3_c6_T29201172_v3.txt,12,6995028,2.971700078,2.978025530,2.953815546,2.983259159,0.015707963,425,4096,341.333333
graph_V12F3_theta_a1_b4_c5_T26954928_v3.txt,12,6510582,2.853691589,2.876592441,2.805895898,2.878586429,0.041404288,438,4096,341.333333
